resource_id,resource_type,title,creator,year,disciplines,technique_tags,skill_level_min,skill_level_max,is_free,price_usd,url,isbn,language,country,description,date_added,last_verified
PD-001,podcast,The Nugget Climbing Podcast,The Nugget Climbing Podcast,,sport|bouldering|trad|all,footwork|hip_rotation|drop_knee|dynamic_movement|route_reading|mental_game|strength|finger_training|periodization|injury_rehab,beginner,advanced,True,Free,https://thenuggetclimbing.com,,en,UK,[platforms: Spotify / Apple / all platforms] [frequency: Weekly (active)] Widely regarded as the highest-quality climbing podcast; EP226 w/ Justen Sjong is a technique masterclass ('drop-drive-stop'); Aidan Roberts; Josh Hadley on flexibility,2026-05-07,2026-05-07
PD-002,podcast,TrainingBeta Podcast,TrainingBeta Podcast,,sport|bouldering|trad,footwork|heel_hooks|drop_knee|flagging|hip_rotation|crimp_grip|slopers|route_reading|slab|overhang|mental_game|strength|finger_training|injury_rehab|periodization,intermediate,advanced,True,Free,https://trainingbeta.com/podcasts,,en,USA,[platforms: Spotify / Apple / all platforms] [frequency: ~Bi-weekly (200+ episodes)] Neely Quinn hosts; 200+ episodes; EP with John Kettle on technique habits; Hazel Findlay on mental game; Steve Bechtel on periodization; archive is vast,2026-05-07,2026-05-07
PD-003,podcast,Power Company Climbing Podcast,Power Company Climbing Podcast,,sport|bouldering|all,footwork|heel_hooks|toe_hooks|drop_knee|flagging|hip_rotation|crimp_grip|slopers|pinches|dynamic_movement|route_reading|slab|overhang|strength|periodization,intermediate,advanced,True,Free,https://powercompanyclimbing.com/blog/category/Podcasts,,en,UK,[platforms: Spotify / Apple / all platforms] [frequency: Active] Kris Hampton & Nate Drolet; strong movement-theory episodes; 'Improving Movement Skills' episode; 'Beta > Macrobeta > Microbeta' series,2026-05-07,2026-05-07
PD-004,podcast,Eric Hörst's Training for Climbing Podcast,Eric Hörst's Training for Climbing Podcast,,sport|bouldering|trad,footwork|heel_hooks|toe_hooks|drop_knee|flagging|hip_rotation|crimp_grip|slopers|pinches|dynamic_movement|route_reading|slab|overhang|mental_game|strength|finger_training|injury_rehab|periodization,intermediate,elite,True,Free,https://trainingforclimbing.com/category/podcasts,,en,UK,[platforms: Apple / Libsyn / all platforms] [frequency: Monthly (active since 2015)] One of the longest-running climbing podcasts; Eric Hörst hosts; best for training-science depth; monthly cadence means less volume but high research quality,2026-05-07,2026-05-07
PD-005,podcast,Lattice Training Podcast / Wild Country Podcast,Lattice Training Podcast / Wild Country Podcast,,sport|bouldering|trad,footwork|heel_hooks|toe_hooks|knee_bars|drop_knee|flagging|hip_rotation|crimp_grip|slopers|pinches|dynamic_movement|route_reading|slab|overhang|strength|finger_training|periodization,intermediate,advanced,True,Free,https://latticetraining.com,,en,USA,"[platforms: Spotify / Apple] [frequency: Active (irregular)] Tom Randall, Ollie Torr and Lattice coaches; research-grade content; finger strength episode cited widely; complements YouTube channel",2026-05-07,2026-05-07
PD-006,podcast,The Struggle Climbing Show,The Struggle Climbing Show,,bouldering|sport,strength,beginner,elite,True,Free,https://thestruggleclimbingshow.com,,en,USA,"[platforms: Spotify / Apple / all platforms] [frequency: Irregular (large back catalog)] Features Emil Abrahamsson, many top boulderers; Emil's No-Hang episode; less technical but excellent for motivation and contextualizing training philosophy",2026-05-07,2026-05-07
PD-007,podcast,Enormocast,Enormocast,,trad|sport,mental_game,intermediate,advanced,True,Free,https://enormocast.com,,en,USA,"[platforms: Apple / all platforms] [frequency: Irregular (large back catalog)] Chris Kalous hosts; deep conversations with Honnold, Caldwell, Gobright; valuable for trad technique philosophy and mental approach to commitment",2026-05-07,2026-05-07
PD-008,podcast,The Climbing Podcast,The Climbing Podcast,,trad|sport|bouldering,footwork|crack_climbing|mental_game|route_reading|gear_placement,beginner,elite,True,Free,https://theclimbingpodcast.com,,en,UK,[platforms: Spotify / Apple / all platforms] [frequency: Active] UK-based; strong on trad and European sport climbing; accessible for all levels; well-produced,2026-05-07,2026-05-07
PD-009,podcast,Send Help: A Rock Climbing Advice Podcast,Send Help: A Rock Climbing Advice Podcast,,sport|bouldering|top_rope,footwork|lead_falling|anchors|gear_placement|mental_game,beginner,intermediate,True,Free,https://search on Spotify/Apple,,en,USA,[platforms: Spotify / Apple] [frequency: Active] Good entry-level podcast; practical Q&A format makes it accessible; community-driven questions,2026-05-07,2026-05-07
PD-010,podcast,Hazel Findlay — Strong Mind Podcast,Hazel Findlay — Strong Mind Podcast,,sport|trad|bouldering,mental_game|lead_falling,beginner,elite,True,Free,https://strongmindclimbing.com/podcast,,en,USA,"[platforms: Spotify / Apple] [frequency: Active (irregular)] Hazel Findlay (MSc Psychology, E9/9a); best pure mental-game podcast; complements her courses; covers fear of falling in depth",2026-05-07,2026-05-07
