resource_id,resource_type,title,creator,year,disciplines,technique_tags,skill_level_min,skill_level_max,is_free,price_usd,url,isbn,language,country,description,date_added,last_verified
YT-001,youtube,Hooper's Beta,Hooper's Beta,,sport|bouldering|all,footwork|heel_hooks|toe_hooks|drop_knee|flagging|hip_rotation|crimp_grip|slopers|pinches|overhang|strength|finger_training|injury_rehab|periodization,beginner,advanced,True,Free,https://youtube.com/@HoopersBeta,,en,USA,"[website: hoopersbeta.com] [subscribers: ~100k+] Dr Jason Hooper (PT, DPT) + Dan Beall (V15); hybrid PT/technique approach unique in space",2026-05-07,2026-05-07
YT-002,youtube,Lattice Training,Lattice Training,,sport|bouldering|trad,footwork|heel_hooks|toe_hooks|knee_bars|drop_knee|flagging|hip_rotation|crimp_grip|slopers|pinches|dynamic_movement|route_reading|slab|overhang|strength|finger_training|periodization,intermediate,advanced,True,Free,https://youtube.com/@LatticeTraining,,en,USA,[website: latticetraining.com] [subscribers: ~150k+] Tom Randall + Ollie Torr + staff; science-based; many benchmark videos,2026-05-07,2026-05-07
YT-003,youtube,Magnus Midtbø,Magnus Midtbø,,sport|bouldering,footwork|heel_hooks|hip_rotation|crimp_grip|slopers|pinches|dynamic_movement|route_reading|overhang|strength|finger_training,beginner,advanced,True,Free,https://youtube.com/@magmidt,,en,USA,"[website: magnusmidtbo.no] [subscribers: ~3.4M (largest)] Norwegian ex-World Cup competitor; highly watchable; technique cameos from Ondra, MacLeod",2026-05-07,2026-05-07
YT-004,youtube,Adam Ondra,Adam Ondra,,sport|bouldering|trad,footwork|heel_hooks|toe_hooks|drop_knee|flagging|hip_rotation|crimp_grip|pinches|underclings|dynamic_movement|route_reading|overhang|mental_game|strength,intermediate,advanced,True,Free,https://youtube.com/@AdamOndra,,en,USA,[website: adamondra.com] [subscribers: ~600k+] World's strongest sport climber; 'Tips & Tricks' playlist; Adršpach crack collab,2026-05-07,2026-05-07
YT-005,youtube,Wide Boyz,Wide Boyz,,trad|all|sport,footwork|hip_rotation|underclings|crack_climbing|offwidth|route_reading|gear_placement,beginner,advanced,True,Free,https://youtube.com/@WideBoyz,,en,UK,[website: wideboyz.com] [subscribers: ~220k+] Tom Randall & Pete Whittaker; Century Crack FA; most authoritative crack YouTube,2026-05-07,2026-05-07
YT-006,youtube,Catalyst Climbing (Louis Parkinson),Catalyst Climbing (Louis Parkinson),,bouldering|sport,footwork|heel_hooks|toe_hooks|knee_bars|drop_knee|flagging|hip_rotation|crimp_grip|slopers|pinches|underclings|dynamic_movement|route_reading|slab|overhang|strength|finger_training|periodization,beginner,advanced,True,Free,https://youtube.com/@CatalystClimbing,,en,UK,[website: catalystclimbing.com] [subscribers: ~180k+] UK-based; collaborates with Neil Gresham; strong beginner playlist and advanced drills,2026-05-07,2026-05-07
YT-007,youtube,Emil Abrahamsson,Emil Abrahamsson,,bouldering|sport,mental_game|strength|finger_training,intermediate,advanced,True,Free,https://youtube.com/@EmilAbrahamsson,,en,USA,[website: youtube.com/@EmilAbrahamsson] [subscribers: ~210k+] 'No Hang Hangboard' video viral (7M+ views); experimental training approach,2026-05-07,2026-05-07
YT-008,youtube,Hannah Morris Bouldering,Hannah Morris Bouldering,,bouldering,footwork|drop_knee|flagging|hip_rotation|route_reading,beginner,intermediate,True,Free,https://youtube.com/@hannahmorrisbouldering,,en,USA,[website: hannahmorrisbouldering.com] [subscribers: ~160k+] Professional coach; best YouTube channel for absolute beginners; conversational style,2026-05-07,2026-05-07
YT-009,youtube,Movement for Climbers (Siawn Ou),Movement for Climbers (Siawn Ou),,bouldering|all,footwork|heel_hooks|toe_hooks|drop_knee|flagging|hip_rotation|slopers|dynamic_movement|route_reading|slab|overhang,beginner,intermediate,True,Free,https://youtube.com/@movementforclimbers,,en,USA,[website: movementforclimbers.com] [subscribers: ~120k+] Unique movement-science lens; excellent on kinesthetic awareness,2026-05-07,2026-05-07
YT-010,youtube,Neil Gresham Climbing Masterclass,Neil Gresham Climbing Masterclass,,sport|trad|bouldering,footwork|heel_hooks|drop_knee|flagging|hip_rotation|crimp_grip|slopers|pinches|underclings|route_reading|slab|overhang|mental_game|lead_falling|strength|finger_training|periodization,intermediate,intermediate,True,Free,https://youtube.com/@NeilGreshamClimbingMasterc,,en,UK,[website: neilgresham.com] [subscribers: <20k (authority > size)] Masterclass DVD series now partly on YouTube; Neil coached 3000+ clients; endorsed by IFSC,2026-05-07,2026-05-07
