resource_id,resource_type,title,creator,year,disciplines,technique_tags,skill_level_min,skill_level_max,is_free,price_usd,url,isbn,language,country,description,date_added,last_verified
CR-001,course,Dave MacLeod's Climbing Technique Course,Dave MacLeod,,bouldering|sport|trad,footwork|drop_knee|flagging|hip_rotation|crimp_grip|slopers|route_reading|slab|overhang|mental_game|strength|periodization|jugs|edges|gastons|side_pulls|pockets,intermediate,advanced,False,$179 one-off (or 3×$69),https://altitudeclimbing.com/davemacleod,,en,UK,[platform: Altitude Climbing] [access: Lifetime access] Best all-round online technique course; by E11 climber & sports scientist,2026-05-07,2026-05-07
CR-002,course,Bouldering Blueprint,Magnus Midtbø,,sport,footwork|drop_knee|flagging|hip_rotation|crimp_grip|route_reading|finger_training|jugs|gastons|side_pulls,beginner,intermediate,False,~$179 one-off,https://altitudeclimbing.com/bouldering-blueprint-evergreen-signup,,en,USA,[platform: Altitude Climbing] [access: Lifetime access] Engaging; Midtbø's personality makes it accessible for beginners,2026-05-07,2026-05-07
CR-003,course,Overcome Fear of Falling,Hazel Findlay,,sport|bouldering|top_rope|trad,mental_game|lead_falling,beginner,elite,False,~$179 one-off,https://altitudeclimbing.com/fear-falling-evergreen-signup,,en,USA,[platform: Altitude Climbing / Strong Mind Climbing] [access: Lifetime access] Hazel holds MSc Psychology; best fear-of-falling course available,2026-05-07,2026-05-07
CR-004,course,Lattice Training Plans — LatticePlan,Tom Randall + Ollie Torr,,bouldering|sport|trad,footwork|heel_hooks|toe_hooks|knee_bars|drop_knee|flagging|hip_rotation|crimp_grip|slopers|pinches|dynamic_movement|route_reading|slab|overhang|strength|finger_training|periodization|edges|gastons|side_pulls|half_crimp|full_crimp|finger_drag|pockets,beginner,elite,False,$29.99/mo or $149.99/yr,https://latticetraining.com/latticeplan,,en,USA,[platform: Lattice Training App] [access: Subscription] App-based; 20+ plan options; integrates with Crimpd,2026-05-07,2026-05-07
CR-005,course,Crimpd / Crimpd+ App,Lattice coaches + athletes,,bouldering|sport,crimp_grip|strength|half_crimp|full_crimp|finger_drag,beginner,elite,False,Free tier; ~$5–7/mo for Crimpd+,https://crimpd.com,,en,USA,[platform: Crimpd (Lattice-linked)] [access: Subscription] Most comprehensive training app; free tier is genuinely useful,2026-05-07,2026-05-07
CR-006,course,Power Company Proven Plans,Kris Hampton + coaches,,bouldering|sport,strength|half_crimp|full_crimp,beginner,beginner,False,$25–35 (ebooks); $150–325 (custom plans),https://powercompanyclimbing.com/proven-plans,,en,USA,[platform: Power Company Climbing App] [access: One-off / Custom] Grade-specific tracks; excellent movement-practice library,2026-05-07,2026-05-07
CR-007,course,Wide Boyz Global Crack School,Tom Randall & Pete Whittaker,,trad,footwork|hip_rotation|underclings|crack_climbing|offwidth|route_reading|gear_placement,beginner,elite,False,Several hundred USD (periodic enrolment),https://wideboyz.school,,en,UK,[platform: wideboyz.school] [access: Lifetime] Definitive online crack resource; limited enrolment windows,2026-05-07,2026-05-07
CR-008,course,Hooper's Beta Recovery Blueprint,Dr. Jason Hooper + Dan Beall,,all,footwork|heel_hooks|toe_hooks|drop_knee|flagging|hip_rotation|crimp_grip|slopers|pinches|overhang|strength|finger_training|injury_rehab|periodization|half_crimp|full_crimp|finger_drag,beginner,elite,False,Tiered subscription via Everfit,https://hoopersbeta.com/recoveryblueprint,,en,USA,[platform: hoopersbeta.com + Everfit] [access: Subscription] Best injury-prevention+movement hybrid program online,2026-05-07,2026-05-07
CR-009,course,The Climbing Doctor — Rock Rehab Pyramid Videos,Dr. Jared Vagy DPT,,all,footwork|drop_knee|flagging|hip_rotation|crimp_grip|dynamic_movement|overhang|strength|finger_training|injury_rehab|half_crimp|full_crimp|finger_drag,beginner,advanced,False,~$60–80 (videos); CE courses $250–900,https://theclimbingdoctor.com/rock-rehab-pyramid-programs,,en,USA,[platform: theclimbingdoctor.com] [access: One-off / CE] PT-clinical quality; endorsed by IFSC medical commission,2026-05-07,2026-05-07
CR-010,course,TrainingBeta Route & Bouldering Programs,Kris Peters + Neely Quinn,,sport|bouldering,footwork|heel_hooks|drop_knee|flagging|hip_rotation|crimp_grip|slopers|route_reading|slab|overhang|mental_game|strength|finger_training|injury_rehab|periodization|gastons|side_pulls|half_crimp|full_crimp,beginner,advanced,False,$18/mo (subscriber); ~$27/mo standard; 7-day free trial,https://trainingbeta.com/route-climbing-training-program,,en,USA,[platform: trainingbeta.com] [access: Subscription] Long-running trusted platform; podcast companion free,2026-05-07,2026-05-07
CR-011,course,Climb Strong Self-Guided Programs,Steve Bechtel,,bouldering|sport|trad,periodization,beginner,elite,False,Ebooks $25–50; tiered plans low-$100s,https://climbstrong.com,,en,USA,[platform: climbstrong.com] [access: One-off / Tiered] Bechtel's 'less is more' philosophy; works well for busy adults,2026-05-07,2026-05-07
CR-012,course,Catalyst Online Squad,Louis Parkinson + Neil Gresham,,bouldering|sport,footwork|drop_knee|flagging|dynamic_movement|crimp_grip|finger_training|strength|periodization|gastons|side_pulls,beginner,advanced,False,£2.99/mo (YouTube tier); full platform ~£2.50/wk,https://online.catalystclimbing.com,,en,UK,[platform: online.catalystclimbing.com] [access: Subscription] Good value; access to two elite coaches simultaneously,2026-05-07,2026-05-07
CR-013,course,Neil Gresham Personalised Plans + Masterclass DVDs,Neil Gresham,,sport|trad|bouldering,footwork|heel_hooks|drop_knee|flagging|hip_rotation|crimp_grip|slopers|pinches|underclings|route_reading|slab|overhang|mental_game|lead_falling|strength|finger_training|periodization|jugs|edges|gastons|side_pulls|pockets,intermediate,intermediate,False,Plans by quote; DVDs £15–25; group masterclasses ~£45/90 min,https://neilgresham.com/coaching-and-training/masterclass-dvds,,en,UK,[platform: neilgresham.com] [access: One-off / Custom] 3000+ verified clients; most experienced UK technique coach,2026-05-07,2026-05-07
CR-014,course,Honnold & Caldwell — Rock Climbing (MasterClass),Alex Honnold & Tommy Caldwell,,sport|trad|top_rope|bouldering,footwork|hip_rotation|crimp_grip|route_reading|mental_game|gear_placement|anchors|jugs,beginner,intermediate,False,$120/yr (all-access 200+ courses),https://masterclass.com/classes/alex-honnold-and-tommy-caldwell-teach-rock-climbing,,en,USA,[platform: MasterClass] [access: Subscription] High production; great intro; not deep enough for advanced climbers,2026-05-07,2026-05-07
CR-015,course,How to Rock Climb (Udemy),Audrey Sniezek,,top_rope|sport|trad,footwork|hip_rotation|crimp_grip|gear_placement|anchors|jugs,beginner,beginner,False,$11.99–$89.99 (sale pricing common),https://udemy.com/course/how-to-rock-climb/,,en,USA,[platform: Udemy] [access: Lifetime] Good beginner intro; 4.5★ rating; visual format,2026-05-07,2026-05-07
