resource_id,resource_type,title,creator,year,disciplines,technique_tags,skill_level_min,skill_level_max,is_free,price_usd,url,isbn,language,country,description,date_added,last_verified
BK-001,book,The Self-Coached Climber,Dan Hague & Douglas Hunter,2006.0,sport|bouldering|top_rope,footwork|heel_hooks|toe_hooks|knee_bars|drop_knee|flagging|hip_rotation|crimp_grip|slopers|pinches|underclings|dynamic_movement|route_reading|slab|overhang|mental_game|strength|finger_training|periodization|jugs|edges|gastons|side_pulls|pockets,beginner,advanced,False,varies (print/ebook),https://amazon.com/dp/0811733394,978-0811733397,en,USA,Comes with DVD of 52 drills; widely considered the definitive technique book,2026-05-07,2026-05-07
BK-002,book,Training for Climbing (3rd ed.),Eric J. Hörst,2016.0,sport|bouldering|trad,footwork|heel_hooks|toe_hooks|drop_knee|flagging|hip_rotation|crimp_grip|slopers|pinches|dynamic_movement|route_reading|slab|overhang|mental_game|strength|finger_training|injury_rehab|periodization|jugs|edges|gastons|side_pulls|half_crimp|full_crimp|finger_drag|pockets,beginner,elite,False,varies (print/ebook),https://amazon.com/dp/1493017616,978-1493017614,en,USA,3rd edition significantly updated; companion trainingforclimbing.com blog,2026-05-07,2026-05-07
BK-003,book,The Rock Climber's Training Manual,Mike & Mark Anderson,2014.0,sport|bouldering|trad|all,footwork|hip_rotation|crimp_grip|slopers|dynamic_movement|route_reading|overhang|mental_game|anchors|strength|finger_training|injury_rehab|periodization|half_crimp|full_crimp|finger_drag|gastons|side_pulls,intermediate,elite,False,varies (print/ebook),https://rockclimberstrainingmanual.com,978-0989515610,en,USA,Highly data-driven; includes training logs and spreadsheets,2026-05-07,2026-05-07
BK-004,book,9 Out of 10 Climbers Make the Same Mistakes,Dave MacLeod,2009.0,sport|bouldering|trad,footwork|heel_hooks|drop_knee|flagging|hip_rotation|crimp_grip|slopers|route_reading|slab|overhang|mental_game|lead_falling|strength|periodization|gastons|side_pulls,intermediate,advanced,False,varies (print/ebook),https://davemacleod.com/shop,978-0956428103,en,UK,Conversational style; covers psychology + physiology together,2026-05-07,2026-05-07
BK-005,book,Rock Climbing: Mastering Basic Skills (2nd ed.),Craig Luebben / Topher Donahue,2014.0,top_rope|sport|trad,footwork|heel_hooks|toe_hooks|drop_knee|flagging|hip_rotation|crimp_grip|slopers|pinches|underclings|crack_climbing|offwidth|dynamic_movement|route_reading|slab|overhang|lead_falling|gear_placement|anchors|jugs|edges|gastons|side_pulls|pockets,beginner,intermediate,False,varies (print/ebook),https://amazon.com/dp/1594858624,978-1594858628,en,USA,Best single-volume intro; covers movement AND systems,2026-05-07,2026-05-07
BK-006,book,How to Climb 5.12 (3rd ed.),Eric J. Hörst,2011.0,sport|bouldering|trad,footwork|drop_knee|flagging|hip_rotation|crimp_grip|slopers|route_reading|overhang|mental_game|strength|periodization|gastons|side_pulls|half_crimp|full_crimp,intermediate,advanced,False,varies (print/ebook),https://amazon.com/dp/0762770295,978-0762770298,en,USA,Grade-focused but technique principles are universal,2026-05-07,2026-05-07
BK-007,book,Vertical Mind,Don McGrath & Jeff Elison,2014.0,sport|bouldering|trad,route_reading|mental_game|lead_falling,beginner,advanced,False,varies (print/ebook),https://stores.sharpendbooks.com/vertical-mind/,978-1892540881,en,USA,Unique cognitive-science lens on technique acquisition,2026-05-07,2026-05-07
BK-008,book,The Rock Warrior's Way,Arno Ilgner,2003.0,trad|sport|bouldering,mental_game|lead_falling,intermediate,advanced,False,varies (print/ebook),https://warriorsway.com/the-rock-warriors-way-mental-training-for-climbers-2/,978-0974011219,en,USA,Seminal mental-game text; companion Espresso Lessons also recommended,2026-05-07,2026-05-07
BK-009,book,Climbing Anchors (4th ed.),John Long & Bob Gaines,2023.0,trad|top_rope|sport,anchors,beginner,advanced,False,varies (print/ebook),https://simonandschuster.com/books/Climbing-Anchors/9781493074556,978-1493074556,en,USA,Updated 2023 edition covers modern redundant systems,2026-05-07,2026-05-07
BK-010,book,Crack Climbing: The Definitive Guide,Pete Whittaker,2019.0,trad|sport|bouldering,crack_climbing,beginner,advanced,False,varies (print/ebook),https://mountaineers.org/books/books/crack-climbing-the-definitive-guide,978-1680512151,en,USA,Single best resource on crack technique; by Wide Boyz co-founder,2026-05-07,2026-05-07
