resource_id,resource_type,title,creator,year,disciplines,technique_tags,skill_level_min,skill_level_max,is_free,price_usd,url,isbn,language,country,description,date_added,last_verified
WB-001,website,Climbing Magazine — Skills,Climbing Magazine — Skills,,all,route_reading|half_crimp|full_crimp|finger_drag,beginner,advanced,True,Free,https://climbing.com/skills,,en,USA,Best technique breadth of any magazine; regularly updated; 'Learn To Rock Climb' series; '4 Grip Techniques'; gear reviews,2026-05-07,2026-05-07
WB-002,website,UKClimbing (UKC) — Skills & Technique,UKClimbing (UKC) — Skills & Technique,,trad|sport|bouldering,footwork|drop_knee|hip_rotation|crimp_grip|crack_climbing|route_reading|slab|overhang|mental_game|gear_placement|anchors|strength|periodization|edges|gastons|side_pulls,beginner,advanced,False,Free (subscription for beta),https://ukclimbing.com/articles/skills,,en,UK,"Robbie Phillips, John Kettle & IFMGA guides; 'Smooth: Movement Principles and Techniques'; community + forum",2026-05-07,2026-05-07
WB-003,website,TrainingBeta,TrainingBeta,,sport|bouldering|trad,footwork|heel_hooks|drop_knee|flagging|hip_rotation|crimp_grip|slopers|route_reading|slab|overhang|mental_game|strength|finger_training|injury_rehab|periodization|gastons|side_pulls|half_crimp,intermediate,advanced,False,Free (programs paid),https://trainingbeta.com,,en,USA,Neely Quinn (host/author); 'Top 5 Climbing Technique Articles'; 'Technique Habits That Undermine Your Performance'; 200+ podcast episodes,2026-05-07,2026-05-07
WB-004,website,Power Company Climbing,Power Company Climbing,,sport|bouldering,footwork|heel_hooks|toe_hooks|drop_knee|flagging|hip_rotation|crimp_grip|slopers|pinches|dynamic_movement|route_reading|slab|overhang|strength|periodization|edges|gastons|side_pulls,intermediate,advanced,False,Free (plans paid),https://powercompanyclimbing.com,,en,USA,Kris Hampton; 'A Better Framework for Assessing Movement'; 'How to Toe Hook'; movement-practice archive,2026-05-07,2026-05-07
WB-005,website,Lattice Training Blog,Lattice Training Blog,,sport|bouldering|trad,footwork|heel_hooks|toe_hooks|knee_bars|drop_knee|flagging|hip_rotation|crimp_grip|slopers|pinches|dynamic_movement|route_reading|slab|overhang|strength|finger_training|periodization|edges|gastons|side_pulls|half_crimp|full_crimp|finger_drag|pockets,beginner,advanced,False,Free (plans paid),https://latticetraining.com/blog,,en,USA,'Learn 100+ Techniques With 4 Concepts'; 'How to Measure Good Technique'; constraint-led approach; research-grade articles,2026-05-07,2026-05-07
WB-006,website,Training For Climbing — Eric Hörst,Training For Climbing — Eric Hörst,,sport|bouldering|trad,footwork|heel_hooks|toe_hooks|drop_knee|flagging|hip_rotation|crimp_grip|slopers|pinches|dynamic_movement|route_reading|slab|overhang|mental_game|strength|finger_training|injury_rehab|periodization|jugs|edges|gastons|side_pulls|half_crimp|full_crimp|finger_drag|pockets,intermediate,advanced,True,Free,https://trainingforclimbing.com,,en,USA,Technique & Skills archive; 'Conceptual Model for Max-Difficulty Sport Climbing'; book-depth content in blog form,2026-05-07,2026-05-07
WB-007,website,The Climbing Doctor,The Climbing Doctor,,all,footwork|drop_knee|flagging|hip_rotation|crimp_grip|dynamic_movement|overhang|strength|finger_training|injury_rehab|half_crimp|full_crimp|finger_drag,beginner,advanced,False,Free (programs paid),https://theclimbingdoctor.com,,en,USA,Dr. Jared Vagy DPT (USC); 'Posterior Chain Climbing'; 'The Ultimate Guide to Return to Rock Climbing',2026-05-07,2026-05-07
WB-008,website,Hooper's Beta Library,Hooper's Beta Library,,bouldering|sport,footwork|heel_hooks|toe_hooks|drop_knee|flagging|hip_rotation|crimp_grip|slopers|pinches|overhang|strength|finger_training|injury_rehab|periodization|edges|gastons|side_pulls|half_crimp|full_crimp|pockets,beginner,advanced,False,Free (coaching paid),https://hoopersbeta.com/library,,en,USA,Over 100 free article/videos; 'The Off Foot Is Climbing Technique #1'; 'Why Does No One Teach the Scorpion?'; 'Anatomy of the Climb' series,2026-05-07,2026-05-07
WB-009,website,Climb Strong Resources,Climb Strong Resources,,sport|bouldering|trad,strength,intermediate,advanced,False,Free (plans paid),https://climbstrong.com/resources,,en,USA,"'Intro to Training for Bouldering'; 'Summer Is For Training'; Bechtel's characteristic dense, no-nonsense style",2026-05-07,2026-05-07
WB-010,website,Wide Boyz / Crack Climbing Company,Wide Boyz / Crack Climbing Company,,trad,footwork|hip_rotation|underclings|crack_climbing|offwidth|route_reading|gear_placement,beginner,advanced,False,Free (school paid),https://wideboyz.com,,en,UK,Global Crack School portal; monthly 'Splitter Report' newsletter; project narratives; gear recommendations,2026-05-07,2026-05-07
WB-011,website,Gripped Magazine — Techniques,Gripped Magazine — Techniques,,sport|bouldering|trad,hip_rotation|overhang|strength,beginner,intermediate,True,Free,https://gripped.com,,en,USA,'10 Techniques for Climbing Overhangs'; 'A Comprehensive Guide to Climbing Technique'; 'Training Tuesday: Use Your Hips!',2026-05-07,2026-05-07
WB-012,website,Dave MacLeod's Blog,Dave MacLeod's Blog,,trad|bouldering|sport,finger_training|half_crimp|full_crimp|finger_drag,intermediate,advanced,True,Free,https://davemacleod.com/blog,,en,UK,'How to Hangboard' guide; Edge fingerboard series; FA accounts of Rhapsody E11; unique insider perspective,2026-05-07,2026-05-07
WB-013,website,REI Expert Advice — Rock Climbing,REI Expert Advice — Rock Climbing,,all,footwork|hip_rotation|crimp_grip|gear_placement|anchors|jugs,beginner,beginner,True,Free,https://rei.com/learn/expert-advice/rock-climbing.html,,en,USA,Best free absolute-beginner intro; clear diagrams; 'Rock Climbing Technique: How to Climb Like a Pro',2026-05-07,2026-05-07
WB-014,website,Mountain Project — Technique Articles,Mountain Project — Technique Articles,,all,route_reading,beginner,advanced,True,Free,https://mountainproject.com/articles,,en,USA,Crowd-sourced; variable quality but excellent for route-specific beta and regional technique nuance,2026-05-07,2026-05-07
WB-015,website,Vertical Life Mag,Vertical Life Mag,,bouldering|sport|trad,footwork|crack_climbing|route_reading|mental_game|strength,beginner,advanced,False,Free (digital subscription optional),https://verticallifemag.com.au,,en,Australia,Strong Australasian trad and sandstone technique content; coaches column,2026-05-07,2026-05-07
WB-016,website,8a.nu,8a.nu,,sport|bouldering,route_reading,intermediate,elite,False,Free (premium subscription optional),https://8a.nu,,en,USA,Largest climber community; technique discussion threads; useful for comparing movement approaches at specific grades,2026-05-07,2026-05-07
WB-017,website,IndoorClimbing.com,IndoorClimbing.com,,bouldering|sport|top_rope,mental_game|jugs,beginner,intermediate,True,Free,https://indoorclimbing.com/Climbing_Technique.html,,en,USA,Older site but surprisingly thorough fundamentals section; no-frills; good for gym beginners,2026-05-07,2026-05-07
